key;context;text_es;text_eu;notes;active;updated_at
app.nav.odoo_connection;app;Conexión y descarga de Odoo;Odoo konexioa eta deskarga;;TRUE;
app.nav.odoo_exploration;app;Exploración Odoo;Odoo esplorazioa;;TRUE;
odoo.connection.title;odoo;Conexión y descarga de Odoo;Odoo konexioa eta deskarga;;TRUE;
odoo.connection.subtitle;odoo;Descargar datos desde Odoo;Odoo-tik datuak deskargatu;;TRUE;
odoo.connection.url;odoo;URL de Odoo;Odoo URL-a;;TRUE;
odoo.connection.database;odoo;Base de datos;Datu-basea;;TRUE;
odoo.connection.user;odoo;Usuario;Erabiltzailea;;TRUE;
odoo.connection.password;odoo;Contraseña;Pasahitza;;TRUE;
odoo.connection.date_from;odoo;Fecha inicio;Hasiera data;;TRUE;
odoo.connection.date_to;odoo;Fecha fin;Amaiera data;;TRUE;
odoo.connection.download;odoo;Descargar horas imputadas;Egotzitako orduak deskargatu;;TRUE;
odoo.connection.test_connection;odoo;Probar conexión;Konexioa probatu;;TRUE;
odoo.connection.build_dataset;odoo;Construir dataset anual;Urteko dataseta eraiki;;TRUE;
odoo.connection.download_rebuild;odoo;Descargar de Odoo y reconstruir datasets;Odoo-tik deskargatu eta datasetak berreraiki;;TRUE;
odoo.connection.connected;odoo;Conexión correcta;Konexioa zuzena;;TRUE;
odoo.connection.error;odoo;Error de conexión;Konexio errorea;;TRUE;
odoo.connection.download_ok;odoo;Descarga completada;Deskarga osatuta;;TRUE;
odoo.connection.dataset_ok;odoo;Dataset reconstruido;Dataseta berreraikita;;TRUE;
odoo.connection.flow_ok;odoo;Flujo completo ejecutado;Fluxu osoa exekutatuta;;TRUE;
odoo.connection.save_session;odoo;Guardar configuración de sesión;Saioaren konfigurazioa gorde;;TRUE;
odoo.connection.session_saved;odoo;Configuración cargada en la sesión. La contraseña no se guarda en disco.;Konfigurazioa saioan kargatu da. Pasahitza ez da diskoan gordetzen.;;TRUE;
odoo.connection.updated_ok;odoo;Datos actualizados correctamente;Datuak behar bezala eguneratu dira;;TRUE;
odoo.connection.records_downloaded;odoo;Registros descargados;Deskargatutako erregistroak;;TRUE;
odoo.connection.hours_downloaded;odoo;Horas descargadas;Deskargatutako orduak;;TRUE;
odoo.connection.data_period;odoo;Periodo de datos;Datuen aldia;;TRUE;
odoo.connection.pending_classification;odoo;Pendientes de clasificación;Sailkatzeko zain;;TRUE;
odoo.connection.last_update;odoo;Última actualización;Azken eguneratzea;;TRUE;
odoo.connection.technical_details;odoo;Detalles técnicos;Xehetasun teknikoak;;TRUE;
odoo.connection.connecting;odoo;Conectando con Odoo...;Odoo-rekin konektatzen...;;TRUE;
odoo.connection.downloading;odoo;Descargando partes de horas...;Ordu parteak deskargatzen...;;TRUE;
odoo.connection.transforming;odoo;Transformando datos...;Datuak eraldatzen...;;TRUE;
odoo.connection.rebuilding;odoo;Reconstruyendo datasets...;Datasetak berreraikitzen...;;TRUE;
odoo.connection.connection_failed;odoo;No se ha podido conectar con Odoo. Revisa la URL, la base de datos, el usuario y la contraseña.;Ezin izan da Odoo-rekin konektatu. Berrikusi URLa, datu-basea, erabiltzailea eta pasahitza.;;TRUE;
odoo.connection.download_failed;odoo;La descarga o reconstrucción no se ha completado. Consulta los detalles técnicos o el log de ejecución.;Deskarga edo berreraikuntza ez da osatu. Kontsultatu xehetasun teknikoak edo exekuzio loga.;;TRUE;
reports.generator.title;report;Generar informes;Txostenak sortu;;TRUE;
reports.generator.type;report;Tipo de informe;Txosten mota;;TRUE;
reports.generator.monthly;report;Mensual;Hilekoa;;TRUE;
reports.generator.annual;report;Anual;Urtekoa;;TRUE;
reports.generator.between_months;report;Entre meses;Hilabeteen artean;;TRUE;
reports.generator.month;report;Mes;Hilabetea;;TRUE;
reports.generator.start_month;report;Mes inicio;Hasierako hilabetea;;TRUE;
reports.generator.end_month;report;Mes fin;Amaierako hilabetea;;TRUE;
reports.generator.detail_level;report;Nivel de desglose;Desglosatze maila;;TRUE;
reports.generator.current_view_only;report;Solo vista actual;Uneko ikuspegia bakarrik;;TRUE;
reports.generator.current_view_sublevels;report;Vista actual + subniveles;Uneko ikuspegia + azpimailak;;TRUE;
reports.generator.include_detail;report;Incluir detalle de líneas;Lerroen xehetasuna sartu;;TRUE;
reports.generator.top_n;report;Top N proyectos para Pareto;Paretorako Top N proiektuak;;TRUE;
reports.generator.generate;report;Generar informe;Txostena sortu;;TRUE;
reports.generator.download_zip;report;Descargar informe ZIP;ZIP txostena deskargatu;;TRUE;
reports.generator.generated_ok;report;Informe generado correctamente;Txostena behar bezala sortu da;;TRUE;
reports.generator.generated_files;report;Archivos generados;Sortutako fitxategiak;;TRUE;
reports.generator.no_data;report;No hay datos para generar el informe;Ez dago daturik txostena sortzeko;;TRUE;
summary.hours.title;summary;Resumen de horas;Orduen laburpena;;TRUE;
metric.total_hours;metric;Horas totales;Orduak guztira;;TRUE;
metric.imputed_hours;metric;Horas imputadas;Egotzitako orduak;;TRUE;
metric.available_hours;metric;Horas disponibles;Ordu erabilgarriak;;TRUE;
metric.difference_vs_available;metric;Diferencia vs disponibles;Erabilgarriekiko aldea;;TRUE;
metric.occupation_pct;metric;% ocupación;% okupazioa;;TRUE;
metric.people;metric;Personas;Pertsonak;;TRUE;
metric.projects;metric;Proyectos;Proiektuak;;TRUE;
metric.tasks;metric;Tareas;Zereginak;;TRUE;
metric.general_hours;metric;Horas generales;Ordu orokorrak;;TRUE;
metric.training_hours;metric;Horas formación;Prestakuntza orduak;;TRUE;
metric.project_hours;metric;Horas proyectos;Proiektu orduak;;TRUE;
metric.unclassified_hours;metric;Horas pendiente de clasificar;Sailkatu gabeko orduak;;TRUE;
metric.not_configured;metric;No configurado;Konfiguratu gabe;;TRUE;
config.title;config;Configuración;Konfigurazioa;;TRUE;
config.project_classification;config;Clasificación proyectos/tareas;Proiektu/zereginen sailkapena;LEGACY - sustituido por clasificacion de gestion;FALSE;
config.available_hours;config;Horas disponibles mensuales;Hileko ordu erabilgarriak;;TRUE;
config.person_workload;config;Jornadas por persona;Pertsonako lanaldiak;;TRUE;
config.language;config;Idioma;Hizkuntza;;TRUE;
config.save;config;Guardar;Gorde;;TRUE;
config.saved;config;Cambios guardados;Aldaketak gordeta;;TRUE;
config.reload;config;Recargar;Birkargatu;;TRUE;
config.detect_missing_translations;config;Detectar textos sin traducir;Itzuli gabeko testuak detektatu;;TRUE;
config.edit_language;config;Idioma de edición;Edizio hizkuntza;;TRUE;
config.edit_both;config;Ambos;Biak;;TRUE;
config.technical_columns_note;config;Las columnas técnicas se mantienen con su nombre interno para guardar sin errores.;Zutabe teknikoek barne izena mantentzen dute errore gabe gordetzeko.;;TRUE;
config.no_new_keys;config;No hay claves nuevas.;Ez dago gako berririk.;;TRUE;
config.keys_added;config;Claves añadidas;Gehitutako gakoak;;TRUE;
column.workload_sum;column;Suma factor jornada;Lanaldi faktoreen batura;;TRUE;
column.unidad_destino;column;Unidad destino;Helmuga unitatea;;TRUE;
column.naturaleza_trabajo;column;Naturaleza del trabajo;Lanaren izaera;;TRUE;
column.grupo_gestion;column;Unidad destino + naturaleza;Helmuga unitatea + izaera;;TRUE;
column.grupo_actividad_original;column;Grupo actividad original;Jatorrizko jarduera taldea;;TRUE;
column.unidad_destino_label;column;Unidad destino;Helmuga unitatea;;TRUE;
column.naturaleza_trabajo_label;column;Naturaleza del trabajo;Lanaren izaera;;TRUE;
column.classification_rule_id;column;Regla de clasificación;Sailkapen araua;;TRUE;
column.classification_status;column;Estado clasificación;Sailkapen egoera;;TRUE;
config.management_classification;config;Clasificación de gestión;Kudeaketa sailkapena;;TRUE;
app.filters.management_group;app;Unidad destino + naturaleza;Helmuga unitatea + izaera;;TRUE;
app.chart.group_by_management;app;Unidad destino + naturaleza;Helmuga unitatea + izaera;;TRUE;
app.chart.group_by_unit;app;Unidad destino;Helmuga unitatea;;TRUE;
app.chart.group_by_nature;app;Naturaleza del trabajo;Lanaren izaera;;TRUE;
report.hours_by_unit;report;Horas por unidad destino;Helmuga unitateko orduak;;TRUE;
report.hours_by_nature;report;Horas por naturaleza del trabajo;Lanaren izaeraren araberako orduak;;TRUE;
report.hours_by_management_group;report;Horas por unidad destino + naturaleza;Helmuga unitatea + izaeraren araberako orduak;;TRUE;
metric.direct_hours;metric;Horas directas;Ordu zuzenak;;TRUE;
metric.indirect_hours;metric;Horas indirectas;Zeharkako orduak;;TRUE;
metric.no_apply_hours;metric;Horas no aplica;Ez dagokion orduak;;TRUE;
metric.pending_management_hours;metric;Horas pendientes de gestión;Kudeaketa sailkatu gabeko orduak;;TRUE;
column.grupo_gestion principal;column;Unidad destino + naturaleza principal;Helmuga unitatea + izaera nagusia;;TRUE;
config.management_units;config;Unidades destino;Helmuga unitateak;;TRUE;
config.work_natures;config;Naturalezas del trabajo;Lanaren izaerak;;TRUE;
config.management_rules;config;Reglas de clasificación;Sailkapen arauak;;TRUE;
config.management_review;config;Verificación proyectos/tareas;Proiektu/zereginen egiaztapena;;TRUE;
config.show_all;config;Todos;Guztiak;;TRUE;
config.only_pending;config;Solo pendientes;Sailkatu gabeak bakarrik;;TRUE;
config.only_classified;config;Solo clasificados;Sailkatuak bakarrik;;TRUE;
config.search_project_task;config;Buscar proyecto/tarea;Proiektua/zeregina bilatu;;TRUE;
config.download_review_csv;config;Descargar verificación CSV;Egiaztapen CSV deskargatu;;TRUE;
config.validation_error;config;Error de validación;Baliozkotze errorea;;TRUE;
config.validation_warning;config;Aviso de validación;Baliozkotze oharra;;TRUE;
column.line_count;column;Nº líneas;Lerro kopurua;;TRUE;
value.clasificado;value;Clasificado;Sailkatuta;;TRUE;
value.pendiente;value;Pendiente;Sailkatu gabe;;TRUE;
report.management_group_hours;report;Horas por grupo de gesti?n;Kudeaketa taldearen araberako orduak;;TRUE;
report.unit_hours;report;Horas por unidad destino;Helmuga unitateko orduak;;TRUE;
report.work_nature_hours;report;Horas por naturaleza del trabajo;Lanaren izaeraren araberako orduak;;TRUE;
metric.pending_classification_hours;metric;Horas pendientes de clasificar;Sailkatu gabeko orduak;;TRUE;
app.nav.planning;app;Planificación;Plangintza;;TRUE;
app.nav.operational_performance;app;Rendimiento operativo;Errendimendu operatiboa;;TRUE;
operational.title;operational;Rendimiento operativo;Errendimendu operatiboa;;TRUE;
operational.view;operational;Vista;Ikuspegia;;TRUE;
operational.summary;operational;Resumen;Laburpena;;TRUE;
operational.planned_vs_actual;operational;Planificado vs real;Planifikatua vs erreala;;TRUE;
operational.people_load;operational;Personas y carga;Pertsonak eta karga;;TRUE;
operational.generate_reports;operational;Generar informes de rendimiento operativo;Errendimendu operatiboko txostenak sortu;;TRUE;
operational.dataset_missing;operational;No existe el dataset procesado de rendimiento operativo. Ejecuta `python scripts\02_transform\24_build_prc01_operational_performance.py`.;Ez dago errendimendu operatiboko dataset prozesaturik. Exekutatu `python scripts\02_transform\24_build_prc01_operational_performance.py`.;;TRUE;
operational.dataset_empty;operational;No hay datos de rendimiento operativo para los filtros seleccionados.;Ez dago errendimendu operatiboko daturik hautatutako iragazkietarako.;;TRUE;
operational.dimension;operational;Dimensión;Dimentsioa;;TRUE;
operational.chart.comparison;operational;▦ Planificado vs real;▦ Planifikatua vs erreala;;TRUE;
operational.chart.deviation;operational;↔ Desviación;↔ Desbideratzea;;TRUE;
operational.chart.overconsumption_pareto;operational;↗ Pareto de sobreconsumo;↗ Gehiegizko kontsumoaren Pareto;;TRUE;
operational.chart.unplanned_actuals;operational;⚠ Horas sin planificación;⚠ Plangintzarik gabeko orduak;;TRUE;
operational.metric.planning_coverage;operational;Cobertura de planificación;Plangintzaren estaldura;;TRUE;
operational.metric.unplanned_actuals;operational;Horas reales sin planificación;Plangintzarik gabeko ordu errealak;;TRUE;
operational.metric.unexecuted_planning;operational;Planificación no ejecutada;Gauzatu gabeko plangintza;;TRUE;
operational.metric.overconsumption_projects;operational;Proyectos con sobreconsumo;Gehiegizko kontsumoa duten proiektuak;;TRUE;
operational.no_overconsumption;operational;No hay sobreconsumo para los filtros seleccionados.;Ez dago gehiegizko kontsumorik hautatutako iragazkietarako.;;TRUE;
operational.no_unplanned_actuals;operational;No hay horas reales sin planificación para los filtros seleccionados.;Ez dago plangintzarik gabeko ordu errealik hautatutako iragazkietarako.;;TRUE;
operational.report.generated_ok;operational;Informe de rendimiento operativo generado correctamente;Errendimendu operatiboko txostena behar bezala sortu da;;TRUE;
column.actual_hours;column;Horas reales;Ordu errealak;;TRUE;
column.planned_hours;column;Horas planificadas;Planifikatutako orduak;;TRUE;
column.deviation_hours;column;Desviación;Desbideratzea;;TRUE;
column.actual_hours_with_planning;column;Horas reales con planificación;Plangintzarekin egindako ordu errealak;;TRUE;
column.actual_hours_without_planning;column;Horas reales sin planificación;Plangintzarik gabeko ordu errealak;;TRUE;
column.planned_hours_not_executed;column;Planificación no ejecutada;Gauzatu gabeko plangintza;;TRUE;
column.planning_coverage_pct;column;Cobertura planificación %;Plangintza estaldura %;;TRUE;
column.planning_execution_pct;column;Ejecución planificación %;Plangintza exekuzioa %;;TRUE;
column.occupation_planned_pct;column;% ocupación planificada;% okupazio planifikatua;;TRUE;
column.occupation_actual_pct;column;% ocupación real;% okupazio erreala;;TRUE;
column.load_status;column;Estado de carga;Karga egoera;;TRUE;
column.planning_status;column;Estado de planificación;Plangintza egoera;;TRUE;
planning.title;planning;Planificación;Plangintza;;TRUE;
planning.summary;planning;Resumen de planificación;Plangintzaren laburpena;;TRUE;
planning.status;planning;Estado planificación;Plangintza egoera;;TRUE;
planning.assured;planning;Asegurada;Ziurtatua;;TRUE;
planning.possible;planning;Posible;Posiblea;;TRUE;
planning.assured_possible;planning;Asegurada + posible;Ziurtatua + posiblea;;TRUE;
planning.weight_possible;planning;Ponderar posibles por probabilidad;Posibleak probabilitatearen arabera haztatu;;TRUE;
planning.monthly_view;planning;Barras mensuales;Hileko barrak;;TRUE;
planning.pareto_view;planning;Pareto;Pareto;;TRUE;
planning.person_load_view;planning;Carga por persona;Pertsonako karga;;TRUE;
planning.monthly_label;planning;▦ Barras mensuales;▦ Hileko barrak;;TRUE;
planning.pareto_label;planning;↗ Pareto;↗ Pareto;;TRUE;
planning.person_load_label;planning;⚙ Carga por persona;⚙ Pertsonako karga;;TRUE;
planning.person_dimension_fallback;planning;Para Carga por persona, el desglose por persona se sustituye por Unidad destino + naturaleza para evitar una leyenda redundante.;Pertsonako kargarako, pertsonaren araberako xehetasuna Helmuga unitatea + izaera gisa ordezkatzen da legenda errepikakorra saihesteko.;;TRUE;
planning.show_people_without_planning;planning;Mostrar personas sin planificación;Plangintzarik gabeko pertsonak erakutsi;;TRUE;
planning.people_in_scope;planning;Personas del ámbito;Eremuko pertsonak;;TRUE;
planning.people_with_planning;planning;Personas con planificación;Plangintza duten pertsonak;;TRUE;
planning.people_without_planning;planning;Personas sin planificación;Plangintzarik gabeko pertsonak;;TRUE;
planning.person_coverage_pct;planning;Cobertura de personas planificadas;Planifikatutako pertsonen estaldura;;TRUE;
planning.with_planning;planning;Con planificación;Plangintzarekin;;TRUE;
planning.without_planning;planning;Sin planificación;Plangintzarik gabe;;TRUE;
planning.without_availability;planning;Sin disponibilidad;Erabilgarritasunik gabe;;TRUE;
planning.no_people_in_scope;planning;No hay personas en el ámbito seleccionado.;Ez dago pertsonarik hautatutako eremuan.;;TRUE;
planning.people_scope_summary;planning;Cobertura de personas;Pertsonen estaldura;;TRUE;
planning.generate_reports;planning;Generar informes de planificación;Plangintza txostenak sortu;;TRUE;
planning.overloads;planning;Sobrecargas;Gehiegizko kargak;;TRUE;
planning.risk;planning;Riesgo;Arriskua;;TRUE;
planning.ok;planning;OK;OK;;TRUE;
planning.overload;planning;Sobrecarga;Gehiegizko karga;;TRUE;
planning.data;planning;Datos de planificación;Plangintza datuak;;TRUE;
planning.monthly_title;planning;Horas planificadas - periodo seleccionado;Planifikatutako orduak - hautatutako aldia;;TRUE;
metric.planned_hours;metric;Horas planificadas;Planifikatutako orduak;;TRUE;
metric.assured_hours;metric;Horas aseguradas;Ziurtatutako orduak;;TRUE;
metric.possible_hours;metric;Horas posibles;Ordu posibleak;;TRUE;
metric.weighted_possible_hours;metric;Horas posibles ponderadas;Haztatutako ordu posibleak;;TRUE;
metric.people_overloaded;metric;Personas en sobrecarga;Gehiegizko karga duten pertsonak;;TRUE;
metric.people_at_risk;metric;Personas en riesgo;Arriskuan dauden pertsonak;;TRUE;
metric.assured_occupation_pct;metric;% ocupación asegurada;% okupazio ziurtatua;;TRUE;
metric.total_occupation_pct;metric;% ocupación total;% okupazio osoa;;TRUE;
metric.pending_status_hours;metric;Horas pendientes de estado;Egoera zain duten orduak;;TRUE;
column.planning_status;column;Estado planificación;Plangintza egoera;;TRUE;
column.planned_hours;column;Horas planificadas;Planifikatutako orduak;;TRUE;
column.probability;column;Probabilidad;Probabilitatea;;TRUE;
column.weighted_planned_hours;column;Horas ponderadas;Haztatutako orduak;;TRUE;
column.source_system;column;Sistema origen;Jatorri sistema;;TRUE;
column.source_model;column;Modelo origen;Jatorri eredua;;TRUE;
column.source_name;column;Nombre origen;Jatorri izena;;TRUE;
